date,OpenEnergyMonitor,OpenStreetMap,PreciousPlastic
2006-06-18,,30.0,
2006-06-25,,52.0,
2006-07-02,,37.0,
2006-07-09,,46.0,
2006-07-16,,22.0,
2006-07-23,,2.0,
2006-07-30,,1.0,
2006-08-06,,0.0,
2006-08-13,,0.0,
2006-08-20,,0.0,
2006-08-27,,1.0,
2006-09-03,,1.0,
2006-09-10,,7.0,
2006-09-17,,0.0,
2006-09-24,,0.0,
2006-10-01,,0.0,
2006-10-08,,0.0,
2006-10-15,,0.0,
2006-10-22,,0.0,
2006-10-29,,0.0,
2006-11-05,,0.0,
2006-11-12,,1.0,
2006-11-19,,1.0,
2006-11-26,,2.0,
2006-12-03,,2.0,
2006-12-10,,0.0,
2006-12-17,,4.0,
2006-12-24,,2.0,
2006-12-31,,0.0,
2007-01-07,,0.0,
2007-01-14,,0.0,
2007-01-21,,0.0,
2007-01-28,,0.0,
2007-02-04,,0.0,
2007-02-11,,0.0,
2007-02-18,,0.0,
2007-02-25,,0.0,
2007-03-04,,0.0,
2007-03-11,,0.0,
2007-03-18,,1.0,
2007-03-25,,16.0,
2007-04-01,,31.0,
2007-04-08,,9.0,
2007-04-15,,15.0,
2007-04-22,,1.0,
2007-04-29,,16.0,
2007-05-06,,14.0,
2007-05-13,,30.0,
2007-05-20,,22.0,
2007-05-27,,10.0,
2007-06-03,,16.0,
2007-06-10,,33.0,
2007-06-17,,27.0,
2007-06-24,,21.0,
2007-07-01,,13.0,
2007-07-08,,11.0,
2007-07-15,,5.0,
2007-07-22,,9.0,
2007-07-29,,30.0,
2007-08-05,,9.0,
2007-08-12,,20.0,
2007-08-19,,11.0,
2007-08-26,,1.0,
2007-09-02,,24.0,
2007-09-09,,10.0,
2007-09-16,,37.0,
2007-09-23,,6.0,
2007-09-30,,21.0,
2007-10-07,,17.0,
2007-10-14,,21.0,
2007-10-21,,50.0,
2007-10-28,,43.0,
2007-11-04,,49.0,
2007-11-11,,66.0,
2007-11-18,,31.0,
2007-11-25,,19.0,
2007-12-02,,31.0,
2007-12-09,,60.0,
2007-12-16,,30.0,
2007-12-23,,25.0,
2007-12-30,,23.0,
2008-01-06,,51.0,
2008-01-13,,41.0,
2008-01-20,,26.0,
2008-01-27,,39.0,
2008-02-03,,44.0,
2008-02-10,,77.0,
2008-02-17,,38.0,
2008-02-24,,41.0,
2008-03-02,,61.0,
2008-03-09,,89.0,
2008-03-16,,51.0,
2008-03-23,,81.0,
2008-03-30,,96.0,
2008-04-06,,172.0,
2008-04-13,,181.0,
2008-04-20,,116.0,
2008-04-27,,91.0,
2008-05-04,,59.0,
2008-05-11,,89.0,
2008-05-18,,89.0,
2008-05-25,,180.0,
2008-06-01,,238.0,
2008-06-08,,257.0,
2008-06-15,,263.0,
2008-06-22,,175.0,
2008-06-29,,331.0,
2008-07-06,,260.0,
2008-07-13,,459.0,
2008-07-20,,447.0,
2008-07-27,,387.0,
2008-08-03,,400.0,
2008-08-10,,305.0,
2008-08-17,,293.0,
2008-08-24,,396.0,
2008-08-31,,304.0,
2008-09-07,,341.0,
2008-09-14,,419.0,
2008-09-21,,382.0,
2008-09-28,,272.0,
2008-10-05,,234.0,
2008-10-12,,267.0,
2008-10-19,,196.0,
2008-10-26,,229.0,
2008-11-02,,295.0,
2008-11-09,,252.0,
2008-11-16,,254.0,
2008-11-23,,295.0,
2008-11-30,,306.0,
2008-12-07,,279.0,
2008-12-14,,358.0,
2008-12-21,,232.0,
2008-12-28,,241.0,
2009-01-04,,457.0,
2009-01-11,,540.0,
2009-01-18,,453.0,
2009-01-25,,482.0,
2009-02-01,,282.0,
2009-02-08,,360.0,
2009-02-15,,463.0,
2009-02-22,,402.0,
2009-03-01,,417.0,
2009-03-08,,428.0,
2009-03-15,,412.0,
2009-03-22,,484.0,
2009-03-29,,453.0,
2009-04-05,,570.0,
2009-04-12,,583.0,
2009-04-19,,507.0,
2009-04-26,,453.0,
2009-05-03,,640.0,
2009-05-10,,598.0,
2009-05-17,,679.0,
2009-05-24,,660.0,
2009-05-31,,900.0,
2009-06-07,,1076.0,
2009-06-14,,917.0,
2009-06-21,,1144.0,
2009-06-28,,830.0,
2009-07-05,,582.0,
2009-07-12,,644.0,
2009-07-19,,747.0,
2009-07-26,,750.0,
2009-08-02,,716.0,
2009-08-09,,730.0,
2009-08-16,,676.0,
2009-08-23,,841.0,
2009-08-30,,1141.0,
2009-09-06,,984.0,
2009-09-13,,1062.0,
2009-09-20,,1163.0,
2009-09-27,,1241.0,
2009-10-04,,928.0,
2009-10-11,,978.0,
2009-10-18,,880.0,
2009-10-25,,836.0,
2009-11-01,,1084.0,
2009-11-08,,833.0,
2009-11-15,,992.0,
2009-11-22,,770.0,
2009-11-29,,625.0,
2009-12-06,,992.0,
2009-12-13,,945.0,
2009-12-20,,991.0,
2009-12-27,,922.0,
2010-01-03,,1090.0,
2010-01-10,,1224.0,
2010-01-17,,1174.0,
2010-01-24,,1406.0,
2010-01-31,,1159.0,
2010-02-07,,1113.0,
2010-02-14,,1057.0,
2010-02-21,,1270.0,
2010-02-28,,1269.0,
2010-03-07,,1588.0,
2010-03-14,,1142.0,
2010-03-21,,1271.0,
2010-03-28,,1944.0,
2010-04-04,,1464.0,
2010-04-11,,1868.0,
2010-04-18,,1744.0,
2010-04-25,,1295.0,
2010-05-02,,1125.0,
2010-05-09,,1094.0,
2010-05-16,,1335.0,
2010-05-23,,1397.0,
2010-05-30,,1443.0,
2010-06-06,,1046.0,
2010-06-13,,1442.0,
2010-06-20,,1455.0,
2010-06-27,,1092.0,
2010-07-04,,1409.0,
2010-07-11,,1258.0,
2010-07-18,,1517.0,
2010-07-25,,1335.0,
2010-08-01,,1324.0,
2010-08-08,,1505.0,
2010-08-15,,1731.0,
2010-08-22,,1724.0,
2010-08-29,,1928.0,
2010-09-05,,1598.0,
2010-09-12,,1734.0,
2010-09-19,,1796.0,
2010-09-26,,1727.0,
2010-10-03,,1835.0,
2010-10-10,,1327.0,
2010-10-17,,1454.0,
2010-10-24,,1312.0,
2010-10-31,,1450.0,
2010-11-07,,1515.0,
2010-11-14,,1715.0,
2010-11-21,,1770.0,
2010-11-28,,2035.0,
2010-12-05,,2135.0,
2010-12-12,,2317.0,
2010-12-19,,2210.0,
2010-12-26,,1530.0,
2011-01-02,,1604.0,
2011-01-09,,1382.0,
2011-01-16,,1768.0,
2011-01-23,,1917.0,
2011-01-30,,2055.0,
2011-02-06,,1811.0,
2011-02-13,,1715.0,
2011-02-20,,1803.0,
2011-02-27,,1726.0,
2011-03-06,,1566.0,
2011-03-13,,1818.0,
2011-03-20,,1590.0,
2011-03-27,,1660.0,
2011-04-03,,1544.0,
2011-04-10,,2022.0,
2011-04-17,,2140.0,
2011-04-24,,1861.0,
2011-05-01,,1511.0,
2011-05-08,,1625.0,
2011-05-15,,1376.0,
2011-05-22,,1860.0,
2011-05-29,,1573.0,
2011-06-05,,1357.0,
2011-06-12,,1495.0,
2011-06-19,,1600.0,
2011-06-26,,1266.0,
2011-07-03,,1380.0,
2011-07-10,,1499.0,
2011-07-17,,1601.0,
2011-07-24,,1500.0,
2011-07-31,,1742.0,
2011-08-07,,1843.0,
2011-08-14,,1552.0,
2011-08-21,,1441.0,
2011-08-28,,1409.0,
2011-09-04,,1452.0,
2011-09-11,,1415.0,
2011-09-18,,1009.0,
2011-09-25,,1122.0,
2011-10-02,,1115.0,
2011-10-09,,1191.0,
2011-10-16,,1612.0,
2011-10-23,,1329.0,
2011-10-30,,1431.0,
2011-11-06,,1402.0,
2011-11-13,,1461.0,
2011-11-20,,1367.0,
2011-11-27,,1288.0,
2011-12-04,,1212.0,
2011-12-11,,1370.0,
2011-12-18,,1304.0,
2011-12-25,,1145.0,
2012-01-01,,1113.0,
2012-01-08,,1295.0,
2012-01-15,,1759.0,
2012-01-22,,1439.0,
2012-01-29,,1676.0,
2012-02-05,,1517.0,
2012-02-12,,1639.0,
2012-02-19,,1579.0,
2012-02-26,,1791.0,
2012-03-04,,1640.0,
2012-03-11,,1550.0,
2012-03-18,,1641.0,
2012-03-25,,1704.0,
2012-04-01,,1866.0,
2012-04-08,,1651.0,
2012-04-15,,1666.0,
2012-04-22,,1739.0,
2012-04-29,,1406.0,
2012-05-06,,1544.0,
2012-05-13,,1373.0,
2012-05-20,,1428.0,
2012-05-27,,1644.0,
2012-06-03,,1642.0,
2012-06-10,,1581.0,
2012-06-17,,1427.0,
2012-06-24,,1219.0,
2012-07-01,,1467.0,
2012-07-08,,1346.0,
2012-07-15,,1781.0,
2012-07-22,,2914.0,
2012-07-29,,1994.0,
2012-08-05,,2053.0,
2012-08-12,,2123.0,
2012-08-19,,2089.0,
2012-08-26,,2017.0,
2012-09-02,,1783.0,
2012-09-09,,1760.0,
2012-09-16,,2580.0,
2012-09-23,,1997.0,
2012-09-30,,1743.0,
2012-10-07,,1718.0,
2012-10-14,,1804.0,
2012-10-21,,1716.0,
2012-10-28,,1955.0,
2012-11-04,,1732.0,
2012-11-11,,1814.0,
2012-11-18,,1469.0,
2012-11-25,,1822.0,
2012-12-02,,2040.0,
2012-12-09,,2036.0,
2012-12-16,,1853.0,
2012-12-23,,1160.0,
2012-12-30,,1048.0,
2013-01-06,,1534.0,
2013-01-13,,1383.0,
2013-01-20,,1695.0,
2013-01-27,,2086.0,
2013-02-03,,2050.0,
2013-02-10,,2175.0,
2013-02-17,,1879.0,
2013-02-24,,2359.0,
2013-03-03,,1625.0,
2013-03-10,,1605.0,
2013-03-17,,1809.0,
2013-03-24,,1755.0,
2013-03-31,,1637.0,
2013-04-07,,1989.0,
2013-04-14,,1646.0,
2013-04-21,,1400.0,
2013-04-28,,1240.0,
2013-05-05,,1439.0,
2013-05-12,,1454.0,1.0
2013-05-19,,1335.0,0.0
2013-05-26,,1321.0,0.0
2013-06-02,,1457.0,0.0
2013-06-09,,1755.0,0.0
2013-06-16,,1652.0,57.0
2013-06-23,,1423.0,0.0
2013-06-30,,1559.0,0.0
2013-07-07,,1258.0,0.0
2013-07-14,,1579.0,39.0
2013-07-21,,1366.0,0.0
2013-07-28,,1541.0,0.0
2013-08-04,,1686.0,0.0
2013-08-11,,1756.0,0.0
2013-08-18,,1627.0,95.0
2013-08-25,,1681.0,0.0
2013-09-01,,1429.0,0.0
2013-09-08,,1834.0,0.0
2013-09-15,,1979.0,62.0
2013-09-22,,1930.0,0.0
2013-09-29,,1900.0,0.0
2013-10-06,,1748.0,0.0
2013-10-13,,1750.0,33.0
2013-10-20,,1527.0,0.0
2013-10-27,,1559.0,0.0
2013-11-03,,1852.0,0.0
2013-11-10,,2159.0,0.0
2013-11-17,,1963.0,36.0
2013-11-24,,1851.0,0.0
2013-12-01,,1996.0,0.0
2013-12-08,,1497.0,0.0
2013-12-15,,1384.0,418.0
2013-12-22,,1503.0,471.0
2013-12-29,,1099.0,409.0
2014-01-05,,1212.0,383.0
2014-01-12,,1637.0,60.0
2014-01-19,,1605.0,333.0
2014-01-26,,1500.0,292.0
2014-02-02,,1718.0,861.0
2014-02-09,,2014.0,229.0
2014-02-16,,1818.0,249.0
2014-02-23,,1803.0,289.0
2014-03-02,,1778.0,732.0
2014-03-09,,1396.0,229.0
2014-03-16,,1534.0,165.0
2014-03-23,,1793.0,253.0
2014-03-30,,1899.0,274.0
2014-04-06,,1664.0,441.0
2014-04-13,,1300.0,72.0
2014-04-20,,1532.0,357.0
2014-04-27,,1654.0,204.0
2014-05-04,,1654.0,277.0
2014-05-11,,1694.0,123.0
2014-05-18,,1950.0,105.0
2014-05-25,,2224.0,107.0
2014-06-01,,1853.0,174.0
2014-06-08,,2024.0,206.0
2014-06-15,,1539.0,24.0
2014-06-22,,2010.0,65.0
2014-06-29,,1734.0,46.0
2014-07-06,,1757.0,280.0
2014-07-13,,2095.0,38.0
2014-07-20,,1702.0,56.0
2014-07-27,,1478.0,24.0
2014-08-03,,1384.0,166.0
2014-08-10,,1262.0,95.0
2014-08-17,,1551.0,73.0
2014-08-24,,1707.0,56.0
2014-08-31,,1460.0,53.0
2014-09-07,,1627.0,482.0
2014-09-14,,1403.0,64.0
2014-09-21,,1409.0,61.0
2014-09-28,,1411.0,46.0
2014-10-05,,1660.0,250.0
2014-10-12,,1318.0,46.0
2014-10-19,,1506.0,134.0
2014-10-26,,1228.0,102.0
2014-11-02,,1530.0,184.0
2014-11-09,,1515.0,199.0
2014-11-16,,1842.0,53.0
2014-11-23,,1575.0,62.0
2014-11-30,,1906.0,27.0
2014-12-07,,1744.0,213.0
2014-12-14,,1325.0,55.0
2014-12-21,,1329.0,67.0
2014-12-28,,1380.0,108.0
2015-01-04,,1294.0,57.0
2015-01-11,,1418.0,11.0
2015-01-18,,1577.0,97.0
2015-01-25,,1601.0,84.0
2015-02-01,,1830.0,71.0
2015-02-08,,2120.0,12.0
2015-02-15,,1614.0,32.0
2015-02-22,,1361.0,19.0
2015-03-01,,1371.0,54.0
2015-03-08,,1381.0,17.0
2015-03-15,,1225.0,15.0
2015-03-22,,1366.0,3.0
2015-03-29,,1279.0,47.0
2015-04-05,,1491.0,55.0
2015-04-12,,1317.0,20.0
2015-04-19,,1360.0,22.0
2015-04-26,,1352.0,14.0
2015-05-03,,1296.0,35.0
2015-05-10,,1195.0,9.0
2015-05-17,,1477.0,51.0
2015-05-24,,1412.0,5.0
2015-05-31,,1290.0,4.0
2015-06-07,,1473.0,74.0
2015-06-14,,1734.0,12.0
2015-06-21,,1591.0,8.0
2015-06-28,,1474.0,3.0
2015-07-05,,1413.0,22.0
2015-07-12,,1393.0,12.0
2015-07-19,,1953.0,5.0
2015-07-26,,1485.0,15.0
2015-08-02,,1794.0,19.0
2015-08-09,,1403.0,10.0
2015-08-16,,1685.0,4.0
2015-08-23,,1537.0,52.0
2015-08-30,,1634.0,15.0
2015-09-06,,1581.0,36.0
2015-09-13,,1381.0,26.0
2015-09-20,,1364.0,5.0
2015-09-27,,1401.0,12.0
2015-10-04,,1123.0,46.0
2015-10-11,,1246.0,35.0
2015-10-18,,1214.0,37.0
2015-10-25,,1221.0,83.0
2015-11-01,,1306.0,41.0
2015-11-08,,1507.0,15.0
2015-11-15,,1416.0,75.0
2015-11-22,,1206.0,44.0
2015-11-29,,998.0,42.0
2015-12-06,,1116.0,48.0
2015-12-13,,1321.0,23.0
2015-12-20,,964.0,27.0
2015-12-27,,933.0,15.0
2016-01-03,,1146.0,9.0
2016-01-10,,1245.0,77.0
2016-01-17,,1398.0,31.0
2016-01-24,,1296.0,20.0
2016-01-31,,1407.0,8.0
2016-02-07,,1395.0,83.0
2016-02-14,,1497.0,41.0
2016-02-21,,1343.0,5.0
2016-02-28,,1362.0,15.0
2016-03-06,,1410.0,57.0
2016-03-13,,1375.0,69.0
2016-03-20,,1084.0,5.0
2016-03-27,,1287.0,14.0
2016-04-03,,1033.0,30.0
2016-04-10,,1221.0,354.0
2016-04-17,50.0,1069.0,256.0
2016-04-24,68.0,1105.0,359.0
2016-05-01,119.0,898.0,259.0
2016-05-08,363.0,932.0,247.0
2016-05-15,441.0,1018.0,84.0
2016-05-22,257.0,921.0,132.0
2016-05-29,352.0,903.0,123.0
2016-06-05,265.0,842.0,411.0
2016-06-12,189.0,820.0,71.0
2016-06-19,175.0,799.0,88.0
2016-06-26,162.0,939.0,71.0
2016-07-03,160.0,822.0,43.0
2016-07-10,164.0,843.0,88.0
2016-07-17,206.0,868.0,74.0
2016-07-24,184.0,821.0,35.0
2016-07-31,163.0,853.0,95.0
2016-08-07,200.0,834.0,48.0
2016-08-14,145.0,864.0,60.0
2016-08-21,171.0,1027.0,83.0
2016-08-28,214.0,1130.0,109.0
2016-09-04,248.0,987.0,53.0
2016-09-11,213.0,997.0,90.0
2016-09-18,238.0,1041.0,123.0
2016-09-25,204.0,712.0,120.0
2016-10-02,226.0,957.0,67.0
2016-10-09,236.0,925.0,122.0
2016-10-16,249.0,873.0,98.0
2016-10-23,287.0,1029.0,58.0
2016-10-30,306.0,1350.0,60.0
2016-11-06,244.0,1310.0,84.0
2016-11-13,167.0,1149.0,85.0
2016-11-20,303.0,992.0,85.0
2016-11-27,218.0,1044.0,109.0
2016-12-04,173.0,1060.0,86.0
2016-12-11,238.0,921.0,87.0
2016-12-18,272.0,1051.0,94.0
2016-12-25,187.0,902.0,27.0
2017-01-01,170.0,718.0,32.0
2017-01-08,343.0,1102.0,134.0
2017-01-15,233.0,1065.0,99.0
2017-01-22,291.0,875.0,68.0
2017-01-29,313.0,1080.0,84.0
2017-02-05,291.0,1267.0,101.0
2017-02-12,233.0,1677.0,116.0
2017-02-19,213.0,1165.0,136.0
2017-02-26,307.0,952.0,129.0
2017-03-05,344.0,969.0,161.0
2017-03-12,161.0,1005.0,112.0
2017-03-19,215.0,1192.0,113.0
2017-03-26,213.0,1246.0,84.0
2017-04-02,173.0,1012.0,109.0
2017-04-09,190.0,917.0,89.0
2017-04-16,229.0,1180.0,96.0
2017-04-23,212.0,1012.0,73.0
2017-04-30,176.0,1120.0,85.0
2017-05-07,246.0,1248.0,107.0
2017-05-14,196.0,1172.0,151.0
2017-05-21,243.0,951.0,89.0
2017-05-28,200.0,853.0,46.0
2017-06-04,182.0,1068.0,87.0
2017-06-11,212.0,1070.0,95.0
2017-06-18,166.0,897.0,152.0
2017-06-25,262.0,1006.0,114.0
2017-07-02,202.0,926.0,70.0
2017-07-09,124.0,877.0,98.0
2017-07-16,200.0,1056.0,87.0
2017-07-23,159.0,1202.0,67.0
2017-07-30,123.0,1059.0,67.0
2017-08-06,158.0,1037.0,96.0
2017-08-13,252.0,949.0,143.0
2017-08-20,230.0,893.0,64.0
2017-08-27,205.0,830.0,50.0
2017-09-03,159.0,1001.0,72.0
2017-09-10,196.0,969.0,62.0
2017-09-17,226.0,1189.0,108.0
2017-09-24,235.0,937.0,71.0
2017-10-01,244.0,1041.0,75.0
2017-10-08,92.0,1021.0,84.0
2017-10-15,233.0,1007.0,80.0
2017-10-22,226.0,859.0,186.0
2017-10-29,318.0,1154.0,177.0
2017-11-05,199.0,941.0,88.0
2017-11-12,223.0,982.0,124.0
2017-11-19,251.0,1059.0,138.0
2017-11-26,361.0,1135.0,210.0
2017-12-03,268.0,970.0,279.0
2017-12-10,229.0,987.0,80.0
2017-12-17,194.0,1052.0,171.0
2017-12-24,148.0,724.0,132.0
2017-12-31,96.0,878.0,128.0
2018-01-07,279.0,812.0,139.0
2018-01-14,244.0,870.0,75.0
2018-01-21,225.0,885.0,153.0
2018-01-28,236.0,931.0,246.0
2018-02-04,228.0,990.0,133.0
2018-02-11,269.0,843.0,138.0
2018-02-18,240.0,1092.0,161.0
2018-02-25,226.0,1234.0,167.0
2018-03-04,233.0,1034.0,160.0
2018-03-11,293.0,1063.0,115.0
2018-03-18,279.0,1068.0,111.0
2018-03-25,419.0,1254.0,137.0
2018-04-01,408.0,1158.0,164.0
2018-04-08,207.0,1185.0,170.0
2018-04-15,165.0,1216.0,104.0
2018-04-22,146.0,997.0,180.0
2018-04-29,199.0,1003.0,126.0
2018-05-06,267.0,1025.0,188.0
2018-05-13,112.0,951.0,88.0
2018-05-20,192.0,1028.0,156.0
2018-05-27,168.0,900.0,171.0
2018-06-03,170.0,911.0,199.0
2018-06-10,148.0,954.0,141.0
2018-06-17,122.0,940.0,147.0
2018-06-24,120.0,1067.0,196.0
2018-07-01,266.0,942.0,140.0
2018-07-08,137.0,923.0,133.0
2018-07-15,197.0,906.0,77.0
2018-07-22,182.0,862.0,154.0
2018-07-29,188.0,644.0,118.0
2018-08-05,186.0,838.0,144.0
2018-08-12,143.0,599.0,136.0
2018-08-19,213.0,840.0,114.0
2018-08-26,260.0,988.0,95.0
2018-09-02,186.0,1179.0,131.0
2018-09-09,120.0,1095.0,116.0
2018-09-16,145.0,1106.0,97.0
2018-09-23,200.0,1069.0,69.0
2018-09-30,218.0,1117.0,74.0
2018-10-07,179.0,1077.0,100.0
2018-10-14,208.0,1114.0,129.0
2018-10-21,229.0,1099.0,71.0
2018-10-28,196.0,1195.0,63.0
2018-11-04,231.0,999.0,142.0
2018-11-11,174.0,1122.0,129.0
2018-11-18,239.0,1251.0,80.0
2018-11-25,265.0,1097.0,80.0
2018-12-02,372.0,989.0,133.0
2018-12-09,280.0,1032.0,89.0
2018-12-16,204.0,690.0,134.0
2018-12-23,256.0,807.0,95.0
2018-12-30,165.0,830.0,61.0
2019-01-06,154.0,767.0,114.0
2019-01-13,254.0,1177.0,76.0
2019-01-20,329.0,1268.0,117.0
2019-01-27,234.0,1040.0,132.0
2019-02-03,205.0,920.0,113.0
2019-02-10,510.0,817.0,139.0
2019-02-17,333.0,924.0,101.0
2019-02-24,401.0,867.0,171.0
2019-03-03,283.0,726.0,92.0
2019-03-10,285.0,771.0,137.0
2019-03-17,411.0,954.0,114.0
2019-03-24,338.0,886.0,143.0
2019-03-31,291.0,926.0,143.0
2019-04-07,293.0,728.0,179.0
2019-04-14,210.0,784.0,83.0
2019-04-21,281.0,588.0,99.0
2019-04-28,306.0,862.0,140.0
2019-05-05,329.0,758.0,137.0
2019-05-12,270.0,873.0,135.0
2019-05-19,307.0,912.0,256.0
2019-05-26,356.0,871.0,261.0
2019-06-02,255.0,850.0,224.0
2019-06-09,294.0,712.0,130.0
2019-06-16,199.0,591.0,119.0
2019-06-23,175.0,718.0,252.0
2019-06-30,280.0,702.0,215.0
2019-07-07,215.0,791.0,120.0
2019-07-14,287.0,823.0,81.0
2019-07-21,344.0,656.0,205.0
2019-07-28,132.0,609.0,144.0
2019-08-04,163.0,741.0,78.0
2019-08-11,291.0,814.0,96.0
2019-08-18,264.0,691.0,91.0
2019-08-25,181.0,729.0,140.0
2019-09-01,199.0,830.0,99.0
2019-09-08,234.0,845.0,126.0
2019-09-15,275.0,904.0,123.0
2019-09-22,223.0,789.0,112.0
2019-09-29,239.0,753.0,45.0
2019-10-06,188.0,670.0,127.0
2019-10-13,228.0,765.0,61.0
2019-10-20,353.0,717.0,50.0
2019-10-27,234.0,772.0,67.0
2019-11-03,262.0,672.0,87.0
2019-11-10,357.0,630.0,118.0
2019-11-17,350.0,776.0,74.0
2019-11-24,264.0,764.0,80.0
2019-12-01,272.0,639.0,43.0
2019-12-08,225.0,528.0,125.0
2019-12-15,342.0,717.0,54.0
2019-12-22,440.0,554.0,52.0
2019-12-29,150.0,544.0,46.0
2020-01-05,299.0,515.0,34.0
2020-01-12,306.0,623.0,5.0
2020-01-19,373.0,652.0,18.0
2020-01-26,303.0,593.0,45.0
2020-02-02,267.0,520.0,53.0
2020-02-09,398.0,631.0,20.0
2020-02-16,395.0,833.0,19.0
2020-02-23,347.0,774.0,19.0
2020-03-01,263.0,756.0,21.0
2020-03-08,208.0,661.0,21.0
2020-03-15,337.0,551.0,14.0
2020-03-22,256.0,570.0,8.0
2020-03-29,258.0,675.0,7.0
2020-04-05,300.0,640.0,6.0
2020-04-12,233.0,697.0,3.0
2020-04-19,282.0,848.0,9.0
2020-04-26,375.0,704.0,5.0
2020-05-03,404.0,841.0,18.0
2020-05-10,275.0,812.0,3.0
2020-05-17,386.0,1009.0,0.0
2020-05-24,168.0,975.0,1.0
2020-05-31,251.0,876.0,8.0
2020-06-07,368.0,771.0,23.0
2020-06-14,386.0,910.0,5.0
2020-06-21,322.0,872.0,3.0
2020-06-28,230.0,782.0,4.0
2020-07-05,450.0,886.0,24.0
2020-07-12,424.0,976.0,2.0
2020-07-19,290.0,679.0,2.0
2020-07-26,354.0,702.0,6.0
2020-08-02,359.0,791.0,13.0
2020-08-09,270.0,630.0,13.0
2020-08-16,516.0,743.0,4.0
2020-08-23,243.0,886.0,1.0
2020-08-30,301.0,757.0,0.0
2020-09-06,260.0,662.0,26.0
2020-09-13,218.0,767.0,1.0
2020-09-20,295.0,832.0,0.0
2020-09-27,331.0,927.0,0.0
2020-10-04,301.0,907.0,19.0
2020-10-11,266.0,699.0,3.0
2020-10-18,272.0,932.0,0.0
2020-10-25,306.0,801.0,0.0
2020-11-01,289.0,737.0,1.0
2020-11-08,250.0,682.0,33.0
2020-11-15,277.0,703.0,0.0
2020-11-22,206.0,788.0,0.0
2020-11-29,205.0,806.0,0.0
2020-12-06,232.0,766.0,13.0
2020-12-13,178.0,741.0,2.0
2020-12-20,138.0,734.0,0.0
2020-12-27,168.0,644.0,0.0
2021-01-03,228.0,665.0,0.0
2021-01-10,221.0,840.0,0.0
2021-01-17,284.0,963.0,0.0
2021-01-24,367.0,1035.0,2.0
2021-01-31,282.0,857.0,0.0
2021-02-07,337.0,682.0,0.0
2021-02-14,344.0,744.0,0.0
2021-02-21,263.0,810.0,1.0
2021-02-28,209.0,873.0,0.0
2021-03-07,285.0,821.0,0.0
2021-03-14,330.0,1022.0,0.0
2021-03-21,195.0,853.0,0.0
2021-03-28,255.0,727.0,0.0
2021-04-04,139.0,928.0,0.0
2021-04-11,178.0,945.0,0.0
2021-04-18,171.0,829.0,0.0
2021-04-25,128.0,697.0,0.0
2021-05-02,72.0,791.0,0.0
2021-05-09,93.0,706.0,0.0
2021-05-16,20.0,613.0,0.0
2021-05-23,,674.0,0.0
2021-05-30,,608.0,0.0
2021-06-06,,679.0,0.0
2021-06-13,,673.0,0.0
2021-06-20,,607.0,0.0
2021-06-27,,704.0,0.0
2021-07-04,,468.0,0.0
2021-07-11,,635.0,0.0
2021-07-18,,95.0,0.0
2021-07-25,,,0.0
2021-08-01,,,0.0
2021-08-08,,,0.0
2021-08-15,,,0.0
2021-08-22,,,0.0
2021-08-29,,,0.0
2021-09-05,,,0.0
2021-09-12,,,0.0
2021-09-19,,,0.0
2021-09-26,,,0.0
2021-10-03,,,1.0
2021-10-10,,,0.0
2021-10-17,,,0.0
2021-10-24,,,0.0
2021-10-31,,,0.0
2021-11-07,,,0.0
2021-11-14,,,0.0
2021-11-21,,,0.0
2021-11-28,,,0.0
2021-12-05,,,1.0
